.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,d0,,,,,,,,,,,,,,,,,
.,,,,,d1,,,d1,,,,,,,,,,,,,,,,,,,,,
.,,,,,a6,,,,,,,b0,,,,,,a0,,,,a0,,,,a0,,,
g1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p0,,,,,,,,,,,,,,h1,,,,,,,,,,,,,,c,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,d0,,,,,,,,d0,,,
.,,,,,,,,,,,,d0,,,,,,,,,,,,,,,,,
.,,,,,d1,,,d1,,,,,,,,,,,,,,,,,,,,,
.,,,,,a6,,,,,,,b0,,,,d1,,a0,,,,a0,,d1,,a0,,d1,
g1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p0,,,,,,,,,,,,,,h1,,,,,,,,,,,,,,c,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,d0,,,,d0,,,,d0,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,d0,d0,,,,,,,,,,,,,,,
.,,,,,d1,,,d1,,,,,,,,,,d1,,,,d1,,,,d1,,,
.,,,,,a6,,,,,,,b0,,,,,,a0,,,,a0,,,,a0,,,
g1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p0,,,,,,,,,,,,,,h1,,,,,,,,,,,,,,c,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,d0,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,b0,,,,,,d1,d1,,a0,,d1,d1,,,,b0,,,,,,,,
g1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p0,,,,,,,,,,,,,,h1,,,,,,,,,,,,,,c,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,d0,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,b0,,,,,,d1,d1,,a0,,,d1,d1,,,b0,,,,,,,,
