.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,d1,,,,d1,,,,d1,,,,,,,,,,,,,,,d1,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,d1,,a1,,d1,,a1,,d1,,a1,,d1,,b1,,,,,,d1,,,d1,,a1,,d1
g1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p0,,,,,,,,,,,,,,h1,,,,,,,,,,,,,,c,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,d1,,,,d1,,,,d1,,,,,,,,,,,,,,,d1,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,d1,,a1,,d1,,a1,,d1,,a1,,d1,,b1,,,,,,d1,,,d1,,a1,,d1
g1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p0,,,,,,,,,,,,,,h1,,,,,,,,,,,,,,c,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,d1,,,,d1,,,,d1,,,,,,,,,,,,,,,d1,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,d1,,a1,,d1,,a1,,d1,,a1,,d1,,b1,,,,,,d1,,,d1,,a1,,d1
g1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
