.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,d1,,,,,,,d1,,,,,,,d1,,,,,,,d1,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,d1,,,a0,,,d1,d1,,,a0,,,d1,d1,,,a0,,,d1,d1,,,a0,,,d1,
f1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p0,,,,,,,,,,,,,,,h0,,,,,,,,,,,,,c,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,d1,d1,d1,,,,,,,d1,d1,d1,,,,,,,d1,d1,d1,,,,,,
.,,,a9,,,,,,,,,a9,,,,,,,,,a9,,,,,,,,
f1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p0,,,,,,,,,,,,,,h1,,,,,,,,,,,,,,c,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,d1,,,,,,,,,,,,,,,,,,,d1,,,,,,
.,,,,,,,,,,,d1,d1,d1,d1,d1,d1,,,,,,,,,,,,,
.,,,,a0,,,,,,,a9,,,a9,,,,,,,,,a0,,,,,,
f1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p0,,,,,,,,,,,,,,h1,,,,,,,,,,,,,,c,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,d1,,,,,,,,,,,,,,,,,,,d1,,,,,,
.,,,,,,,,,,,d1,d1,d1,d1,d1,d1,,,,,,,,,,,,,
.,,,,a0,,,,,,,a9,,,a9,,,,,,,,,a0,,,,,,
f1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p0,,,,,,,,,,,,,,h0,,,,,,,,,,,,,,c,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,d1,,,,,,,d1,,,,,,,d1,,,,,,,d1,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,d1,,a2,,d1,,,d1,,a2,,d1,,,d1,,a2,,d1,,,d1,,a2,,d1,,
f1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p0,,,,,,,,,,,,,,h0,,,,,,,,,,,,,,c,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,d1,,,,,,,d1,,,,,,,d1,,,,,,,d1,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,d1,,,a0,,,d1,d1,,,a0,,,d1,d1,,,a0,,,d1,d1,,,a0,,,d1,
f1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p0,,,,,,,,,,,,,,h1,,,,,,,,,,,,,,c,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,d1,,,,,,,d1,,,,,,,d1,,,,,,,d1,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,d1,,,a0,,,d1,d1,,,a0,,,d1,d1,,,a0,,,d1,d1,,,a0,,,d1,
f1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p0,,,,,,,,,,,,,,h0,,,,,,,,,,,,,,c,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,d1,d1,d1,,,,,,,d1,d1,d1,,,,,,,d1,d1,d1,,,,,
.,,,,a9,,,,,,,,,a9,,,,,,,,,a9,,,,,,,
f1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p0,,,,,,,,,,,,,,h1,,,,,,,,,,,,,,c,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,d1,,,,,,,d1,,,,,,,d1,,,,,,,d1,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,d1,,a2,,d1,,,d1,,a2,,d1,,,d1,,a2,,d1,,,d1,,a2,,d1,,
f1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p0,,,,,,,,,,,,,,,h0,,,,,,,,,,,,,c,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,d1,,,,,,,,,,,,,,,,,,,d1,,,,,,
.,,,,,,,,,,,d1,d1,d1,d1,d1,d1,,,,,,,,,,,,,
.,,,,a0,,,,,,,a9,,,a9,,,,,,,,,a0,,,,,,
f1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p0,,,,,,,,,,,,,,,h0,,,,,,,,,,,,,c,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
